district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Morobo,2019-02-01,30.83354,3.737241,3.0,1350.326,214150.0,Morobo,2019-02-01,7,2.57,1.2000933924819052e-05,0.0019032441054974872,0.016205173102965213,3.268736866682232e-05,0.0051839333612772025,0.04413860378239552
Morobo,2019-06-01,30.83354,3.737241,3.0,1350.326,214150.0,Morobo,2019-06-01,27,2.67,1.2467896334345086e-05,0.001977300296372876,0.016835724585570862,0.00012607985057202896,0.019995171536354925,0.17024890030352557
Morobo,2019-10-01,30.83354,3.737241,2.0,1350.326,214150.0,Morobo,2019-10-01,2,0.5,2.3348120476301657e-06,0.00037028095437694305,0.0031527574130282513,9.339248190520663e-06,0.0014811238175077722,0.012611029652113005
Morobo,2020-02-01,30.83354,3.737241,3.0,1350.326,153613.9,Morobo,2020-02-01,5,5.4,3.5153068830359754e-05,0.003999034307270985,0.04746810282142437,3.254913780588866e-05,0.0037028095437694306,0.04395194705687441
Magwi,2012-07-01,32.2103,3.910535,1.0,5174.613,374330.0,Magwi,2012-07-01,1,0.0,0.0,0.0,0.0,2.671439638821361e-06,0.00019325116680223234,0.01382366628376032
Magwi,2013-10-01,32.2103,3.910535,1.0,5174.613,430590.0,Magwi,2013-10-01,2,0.0,0.0,0.0,0.0,4.644789707146009e-06,0.0003865023336044647,0.024034989200863933
Magwi,2014-01-01,32.2103,3.910535,1.0,5174.613,486850.0,Magwi,2014-01-01,1,1.0,2.0540207456095308e-06,0.00019325116680223234,0.010628762452500771,2.0540207456095308e-06,0.00019325116680223234,0.010628762452500771
Magwi,2014-04-01,32.2103,3.910535,2.0,5174.613,486850.0,Magwi,2014-04-01,1,0.0,0.0,0.0,0.0,2.0540207456095308e-06,0.00019325116680223234,0.010628762452500771
Magwi,2014-07-01,32.2103,3.910535,2.0,5174.613,486850.0,Magwi,2014-07-01,1,0.0,0.0,0.0,0.0,2.0540207456095308e-06,0.00019325116680223234,0.010628762452500771
Magwi,2014-10-01,32.2103,3.910535,1.0,5174.613,486850.0,Magwi,2014-10-01,1,0.0,0.0,0.0,0.0,2.0540207456095308e-06,0.00019325116680223234,0.010628762452500771
